DATE,A326RC1Q027SBEA,A334RC1Q027SBEA
1947-01-01,46.968,78.454
1947-04-01,48.383,80.2
1947-07-01,49.169,82.481
1947-10-01,50.587,83.16
1948-01-01,51.876,83.794
1948-04-01,50.891,84.453
1948-07-01,52.745,84.767
1948-10-01,53.405,84.7
1949-01-01,52.914,84.63
1949-04-01,54.332,83.783
1949-07-01,53.925,81.605
1949-10-01,53.385,81.279
1950-01-01,53.631,81.368
1950-04-01,56.144,82.392
1950-07-01,65.66,84.762
1950-10-01,62.41,85.191
1951-01-01,66.422,90.635
1951-04-01,64.302,91.188
1951-07-01,67.234,94.457
1951-10-01,70.877,96.788
1952-01-01,71.317,95.721
1952-04-01,71.24,96.569
1952-07-01,66.54,97.693
1952-10-01,73.448,99.305
1953-01-01,77.382,99.321
1953-04-01,78.464,98.925
1953-07-01,79.382,98.493
1953-10-01,76.747,98.739
1954-01-01,74.868,99.892
1954-04-01,76.001,100.062
1954-07-01,74.602,101.525
1954-10-01,76.916,103.009
1955-01-01,80.049,103.765
1955-04-01,84.714,105.138
1955-07-01,88.485,106.443
1955-10-01,88.632,107.898
1956-01-01,87.214,109.686
1956-04-01,89.158,111.31
1956-07-01,91.408,112.754
1956-10-01,94.434,114.774
1957-01-01,98.16,116.568
1957-04-01,97.023,117.389
1957-07-01,98.61,120.057
1957-10-01,96.682,118.843
1958-01-01,90.846,119.497
1958-04-01,89.419,120.773
1958-07-01,90.207,122.752
1958-10-01,93.632,122.833
1959-01-01,98.934,124.49
1959-04-01,101.563,125.452
1959-07-01,104.545,127.45
1959-10-01,101.977,128.817
1960-01-01,105.68,130.085
1960-04-01,108.339,131.757
1960-07-01,108.587,131.86
1960-10-01,106.542,133.157
1961-01-01,105.1,134.441
1961-04-01,107.274,134.461
1961-07-01,109.629,134.712
1961-10-01,113.927,136.411
1962-01-01,116.292,137.704
1962-04-01,118.535,138.957
1962-07-01,120.605,139.932
1962-10-01,122.354,140.682
1963-01-01,123.456,142.143
1963-04-01,126.418,143.397
1963-07-01,129.818,145.554
1963-10-01,133.157,146.054
1964-01-01,136.9,150.171
1964-04-01,139.088,152.39
1964-07-01,142.71,155.879
1964-10-01,142.584,156.611
1965-01-01,149.625,157.652
1965-04-01,151.127,161.444
1965-07-01,156.019,164.139
1965-10-01,160.988,171.09
1966-01-01,168.946,174.575
1966-04-01,167.876,177.388
1966-07-01,172.407,179.877
1966-10-01,175.41,181.014
1967-01-01,173.649,183.092
1967-04-01,177.722,185.043
1967-07-01,178.588,186.755
1967-10-01,180.765,187.973
1968-01-01,186.586,193.763
1968-04-01,189.753,197.158
1968-07-01,196.36,201.81
1968-10-01,198.894,203.941
1969-01-01,206.821,206.72
1969-04-01,205.201,211.467
1969-07-01,208.968,214.46
1969-10-01,209.27,219.179
1970-01-01,210.999,223.746
1970-04-01,213.163,226.212
1970-07-01,213.264,229.427
1970-10-01,205.316,234.208
1971-01-01,214.52,235.962
1971-04-01,217.383,236.841
1971-07-01,221.91,238.744
1971-10-01,226.172,240.654
1972-01-01,233.432,244.04
1972-04-01,241.394,251.692
1972-07-01,245.432,256.876
1972-10-01,258.445,266.897
1973-01-01,275.701,275.834
1973-04-01,282.882,283.22
1973-07-01,284.773,292.978
1973-10-01,287.748,302.183
1974-01-01,293.708,307.811
1974-04-01,302.369,307.783
1974-07-01,313.128,315.927
1974-10-01,311.335,320.234
1975-01-01,318.518,334.472
1975-04-01,330.433,339.123
1975-07-01,347.035,347.012
1975-10-01,359.94,351.641
1976-01-01,370.046,355.034
1976-04-01,375.336,356.838
1976-07-01,386.493,361.682
1976-10-01,400.253,368.227
1977-01-01,417.222,365.167
1977-04-01,427.737,374.618
1977-07-01,437.459,382.598
1977-10-01,449.357,393.516
1978-01-01,447.678,396.525
1978-04-01,488.742,422.37
1978-07-01,498.165,432.536
1978-10-01,523.973,445.476
1979-01-01,541.408,455.674
1979-04-01,543.277,468.886
1979-07-01,569.884,487.196
1979-10-01,573.813,495.821
1980-01-01,594.6,503.594
1980-04-01,572.65,519.517
1980-07-01,595.196,548.7
1980-10-01,617.011,554.358
1981-01-01,640.357,569.083
1981-04-01,648.885,577.026
1981-07-01,666.984,594.026
1981-10-01,648.9,602.67
1982-01-01,652.883,611.461
1982-04-01,657.866,621.593
1982-07-01,656.872,608.264
1982-10-01,670.524,618.471
1983-01-01,663.831,636.231
1983-04-01,696.273,636.571
1983-07-01,719.1,644.337
1983-10-01,756.583,657.595
1984-01-01,766.303,659.116
1984-04-01,787.99,672.89
1984-07-01,800.089,679.478
1984-10-01,834.582,683.502
1985-01-01,853.088,705.002
1985-04-01,869.355,696.62
1985-07-01,889.554,708.89
1985-10-01,880.482,712.419
1986-01-01,878.277,728.197
1986-04-01,895.201,723.836
1986-07-01,937.34,727.563
1986-10-01,944.472,736.736
1987-01-01,910.712,748.308
1987-04-01,943.037,761.781
1987-07-01,980.565,765.656
1987-10-01,968.68,773.469
1988-01-01,1011.188,793.769
1988-04-01,1033.142,815.602
1988-07-01,1037.993,838.977
1988-10-01,1066.253,851.849
1989-01-01,1084.626,861.013
1989-04-01,1112.905,889.119
1989-07-01,1160.109,895.622
1989-10-01,1136.122,903.101
